word,entry_type_code,region_code,source_code,note
a & e,phrase,uk,oald_8,
a damp squib,phrase,uk,oald_8,
a tidy,phrase,uk,opvd_2,
a-frame,root,name,oald_8,
a.d.,root,name,oald_8,
a.h.,root,us,oald_8,
a/c,root,name,oald_8,
abattoir,root,uk,oald_8,
abc,root,uk,oald_8,
abcs,inflection,name,oald_8,
abd,root,name,oald_8,
abh,root,uk,oald_8,
abm,root,can,oald_8,
abo,root,austral,oald_8,
about-turn,root,uk,oald_8,
abroad,root,uk,oald_8,
abseil,root,uk,oald_8,
absentee ballot,phrase,name,oald_8,
absentee ballots,phrase,name,oald_8,
absorbent cotton,phrase,name,oald_8,
ac,root,name,oald_8,
accelerator,root,uk,oald_8,
access course,phrase,uk,oald_8,
access courses,phrase,uk,oald_8,
accessorise,root,uk,mwcd_11,
accident and emergencies,phrase,uk,oald_8,
accident and emergency,phrase,uk,oald_8,
acclimate,root,name,oald_8,
acclimatise,root,uk,mwcd_11,
accomodations,inflection,name,oald_8,
accouter,root,us,ode_2,
accouterment,root,us,ode_2,
ace out,phrase,name,opvd_2,
aced out,phrase,name,opvd_2,
aces out,phrase,name,opvd_2,
acetaminophen,root,name,oald_8,
ach,root,scot,oald_8,
achcha,root,ind,oald_8,
acing out,phrase,name,opvd_2,
acquaintance rape,phrase,name,oald_8,
acquaintance rapes,phrase,name,oald_8,
action film,phrase,uk,oald_8,
action films,phrase,uk,oald_8,
actioner,root,name,oald_8,
active duty,phrase,name,oald_8,
actual bodily harm,phrase,uk,oald_8,
actualise,root,uk,oald_8,
add on,phrase,us,opvd_2,
add up,phrase,uk,opvd_2,
added on,phrase,us,opvd_2,
added up,phrase,uk,opvd_2,
adder-tongue,root,name,ode_2,
adding on,phrase,us,opvd_2,
adding up,phrase,uk,opvd_2,
adds on,phrase,us,opvd_2,
adds up,phrase,uk,opvd_2,
adjustable spanner,phrase,uk,oald_8,
adjustable spanners,phrase,uk,oald_8,
admin,root,uk,oald_8,
admiral of the fleet,phrase,uk,oald_8,
adventure playground,phrase,uk,oald_8,
adventure playgrounds,phrase,uk,oald_8,
adventuresome,root,name,oald_8,
advert,root,uk,oald_8,
advice aunt,phrase,name,oald_8,
advice aunts,phrase,name,oald_8,
advice column,phrase,name,oald_8,
advice columns,phrase,name,oald_8,
advice uncle,phrase,name,oald_8,
advice uncles,phrase,name,oald_8,
advocacy group,phrase,name,oald_8,
advocacy groups,phrase,name,oald_8,
adz,root,us,oald_8,
adze,root,uk,oald_8,
aeolian,root,uk,oald_8,
aeon,root,uk,oald_8,
aerials,inflection,uk,oald_8,
aerie,root,name,oald_8,
aerodrome,root,uk,oald_8,
aerofoil,root,uk,oald_8,
aerogram,root,name,oald_8,
aerogramme,root,uk,oald_8,
aetilogy,root,uk,oald_8,
aetiology,root,uk,mwcd_11,
afara,root,wafr,oald_8,
affinity group,phrase,name,oald_8,
affinity groups,phrase,name,oald_8,
affirmative action,phrase,name,oald_8,
afoul,root,name,oald_8,
africanise,root,uk,mwcd_11,
afters,root,uk,oald_8,
afterward,root,name,oald_8,
afterwards,root,uk,oald_8,
ag,root,safr,oald_8,
aga,root,uk,oald_8,
age out,phrase,us,opvd_2,
age-set,root,eafr,oald_8,
aged out,phrase,us,opvd_2,
aged-out,root,us,opvd_2,
ageing,root,uk,oald_8,
ages out,phrase,us,opvd_2,
aggrandise,root,uk,mwcd_11,
aggrandisement,root,uk,oald_8,
aggro,root,uk,oald_8,
aging out,phrase,us,opvd_2,
agism,root,name,oald_8,
agonise,root,uk,mwcd_11,
agonisingly,root,uk,oald_8,
agony column,phrase,uk,oald_8,
agony columnist,phrase,uk,oald_8,
agony columnists,phrase,uk,oald_8,
agony columns,phrase,uk,oald_8,
air ambulance,phrase,uk,oald_8,
air hostess,phrase,uk,oald_8,
air hostesses,phrase,uk,oald_8,
air-dash,root,ind,oald_8,
air-sea rescue,phrase,uk,oald_8,
airbed,root,uk,oald_8,
airbridge,root,uk,oald_8,
airdrome,root,us,oald_8,
airfield,root,us,mwcd_11,
airfoil,root,name,oald_8,
airing cupboard,phrase,uk,oald_8,
airing cupboards,phrase,uk,oald_8,
airmiss,root,uk,oald_8,
airplane,root,name,oald_8,
airy-fairy,root,uk,oald_8,
alcopop,root,uk,oald_8,
alehouse,root,uk,oald_8,
alhaja,root,wafr,oald_8,
alhaji,root,wafr,oald_8,
