id,category,uk,us,source,notes
1,spelling,behaviour,behavior,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
2,spelling,colour,color,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
3,spelling,favour,favor,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
4,spelling,flavour,flavor,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
5,word,trousers,pants,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,
6,word,flat,apartment,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,
7,word,bonnet,hood,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,
8,word,boot,trunk,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,
9,phrase,at the weekend,on the weekend,http://www.teacherdiane.com/blog/american-vs-british-english,optional
10,spelling,harbour,harbor,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
11,spelling,honour,honor,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
12,spelling,humour,humor,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
13,spelling,labour,labor,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
14,spelling,neighbour,neighbor,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
15,spelling,rumour,rumor,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
16,spelling,splendour,splendor,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
17,spelling,calibre,caliber,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
18,spelling,centre,center,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
19,spelling,fibre,fiber,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
20,spelling,litre,liter,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
21,spelling,lustre,luster,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
22,spelling,manoeuvre,manoeuver,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
23,spelling,meagre,meager,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
24,spelling,metre,meter,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
25,spelling,mitre,miter,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
26,spelling,nitre,niter,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
27,spelling,ochre,ocher,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
28,spelling,reconnoitre,erconnoiter,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
29,spelling,sabre,saber,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
30,spelling,saltpetre,saltpeter,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
31,spelling,sepulchre,sepulcher,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
32,spelling,sombre,somber,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
33,spelling,spectre,specter,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
34,spelling,theatre,theater,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
35,spelling,titre,titer,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
36,spelling,goitre,goiter,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
37,spelling,practise,practice,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
38,spelling,licence,license,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
39,spelling,defence,defense,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
40,spelling,offence,offense,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
41,spelling,aeon,eon,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
42,spelling,anaemia,anemia,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
43,spelling,anaesthesia,anesthesia,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
44,spelling,caecum,cecum,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
45,spelling,caesium,cesium,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
46,spelling,coeliac,celiac,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
47,spelling,diarrhoea,diarrhea,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
48,spelling,encyclopaedia,encyclopedia,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
49,spelling,faeces,feces,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
50,spelling,foetal,fetal,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
51,spelling,gynaecology,gynecology,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
52,spelling,haemoglobin,hemoglobin,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
53,spelling,haemophilia,hemophilia,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
54,spelling,leukaemia,leukemia,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
55,spelling,oesophagus,esophagus,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
56,spelling,oestrogen,estrogen,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
57,spelling,orthopaedic,orthopedic,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
58,spelling,palaeontology,paleontology,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
59,spelling,paediatric,pediatric,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
60,spelling,paedophile,pedophile,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
61,spelling,oenology,enology,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
62,spelling,haem,heme,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
63,phrase,fill in ,fill out,https://intrepidenglish.co.uk/podcasts/handy-phrasal-verbs-in-the-us-or-uk/,
64,phrase,chase up,track down,https://intrepidenglish.co.uk/podcasts/handy-phrasal-verbs-in-the-us-or-uk/,
65,phrase,,scare up,https://intrepidenglish.co.uk/podcasts/handy-phrasal-verbs-in-the-us-or-uk/,
66,phrase,be rained off,be rained out,https://intrepidenglish.co.uk/podcasts/handy-phrasal-verbs-in-the-us-or-uk/,
67,phrase,shoot off,bail out,https://intrepidenglish.co.uk/podcasts/handy-phrasal-verbs-in-the-us-or-uk/,
68,phrase,get on ,get along,https://intrepidenglish.co.uk/podcasts/handy-phrasal-verbs-in-the-us-or-uk/,
69,phrase,tell off,bawl out,https://blog.cambridge.es/media-gallery/4351/,
70,phrase,work out,figure out,https://blog.cambridge.es/media-gallery/4351/,
71,phrase,mess about,goof off,https://blog.cambridge.es/media-gallery/4351/,
72,phrase,mess around,goof around,https://blog.cambridge.es/media-gallery/4351/,
73,phrase,freshen up,wash up,https://blog.cambridge.es/media-gallery/4351/,
74,phrase,at Christmas,on Christmas,http://www.teacherdiane.com/blog/american-vs-british-english,
75,word,biscuit,cookie,http://www.teacherdiane.com/blog/american-vs-british-english,
76,word,nappy,diaper,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
77,word,lift,elevator,http://www.teacherdiane.com/blog/american-vs-british-english,
78,word,rubber,eraser,http://www.teacherdiane.com/blog/american-vs-british-english,
79,word,autumn,fall,http://www.teacherdiane.com/blog/american-vs-british-english,
80,word,chips,french fries,http://www.teacherdiane.com/blog/american-vs-british-english,
81,word,petrol,gas,http://www.teacherdiane.com/blog/american-vs-british-english,
82,word,maths,math,http://www.teacherdiane.com/blog/american-vs-british-english,
83,word,film,movie,http://www.teacherdiane.com/blog/american-vs-british-english,
84,word,crisps,potato chips,http://www.teacherdiane.com/blog/american-vs-british-english,
85,word,pavement,sidewalk,http://www.teacherdiane.com/blog/american-vs-british-english,
86,word,trainers,sneakers,http://www.teacherdiane.com/blog/american-vs-british-english,
87,word,football,soccer,http://www.teacherdiane.com/blog/american-vs-british-english,
88,word,,subway,Merriam-Webster's Collegiate Dictionary Eleventh Edition,"The equivalent in British English, ""underground"", can be used in both British and American English in other contexts."
89,word,lorry,truck,http://www.teacherdiane.com/blog/american-vs-british-english,
90,word,vest,undershirt,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
91,word,holiday,vacation,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
92,word,windscreen,windshield,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
93,word,loo,,Merriam-Webster's Collegiate Dictionary Eleventh Edition,"Not sure if the equivalents in American English such as ""toilet"" and ""restroom"" are not commonly used in British English"
94,word,note,bill,Oxford Advanced  Learner's Dictionary 8th Edition,
95,word,engaged,busy,Oxford Advanced  Learner's Dictionary 8th Edition,of a telephone line
96,word,anticlockwise,counterclockwise,Oxford Advanced  Learner's Dictionary 8th Edition,
97,word,cot,crib,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
98,word,diversion,detour,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
99,word,chemist,pharmacist,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
100,word,torch,flashlight,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
101,word,thongs,flip-flops,Oxford Advanced  Learner's Dictionary 8th Edition,
102,word,rubbish,,Oxford Advanced  Learner's Dictionary 8th Edition,
103,word,bloke,dude,https://preply.com/en/blog/british-english-vs-american-english-slang-compared/,
104,word,mortorway,highway,http://www.teacherdiane.com/blog/american-vs-british-english,
105,word,queue,line,Oxford Advanced  Learner's Dictionary 8th Edition,
106,word,post,mail,Oxford Advanced  Learner's Dictionary 8th Edition,
107,word,cinema,movie theater,Oxford Advanced  Learner's Dictionary 8th Edition,
108,word,,pacifer,Merriam-Webster's Collegiate Dictionary Eleventh Edition,"The British equivalent is ""dummy"", but it has many other meanings which can be used in American English"
109,phrase,car park,parking lot,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
110,phrase,,garage,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
111,word,bathrobe,dressing gown,Oxford Advanced  Learner's Dictionary 8th Edition,
112,word,pyjamas,pajamas,Oxford Advanced  Learner's Dictionary 8th Edition,
